SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2.048,4,10,protocol,7.5,400,981,2.4525,286,272,0.951049,0.834016,0.526288,0.326891,0.232685,0.180331,0.15626,0.15626,0.15626,0.15626,0.308055
3,2.56,5,10,protocol,7.5,400,1022,2.555,358,344,0.960894,0.82505,0.537329,0.335082,0.232802,0.187592,0.160818,0.160818,0.160818,0.160818,0.309166
4,2.048,4,10,protocol,7.5,400,1131,2.8275,334,321,0.961078,0.860772,0.594013,0.376498,0.253133,0.204447,0.176829,0.176829,0.176829,0.176829,0.306199
5,2.048,4,10,protocol,7.5,400,1014,2.535,348,340,0.977011,0.800388,0.530058,0.32615,0.219766,0.181916,0.158636,0.158636,0.158636,0.158636,0.29233
6,2.048,4,10,protocol,7.5,400,1015,2.5375,282,273,0.968085,0.81286,0.508517,0.317188,0.218467,0.18138,0.155246,0.155246,0.155246,0.155246,0.283507
7,3.584,7,10,protocol,7.5,400,911,2.2775,262,242,0.923664,0.776531,0.437981,0.281347,0.194492,0.161754,0.138072,0.138072,0.138072,0.138072,0.300489
8,6.656,13,10,protocol,7.5,400,933,2.3325,232,220,0.948276,0.774896,0.43844,0.274089,0.198384,0.164958,0.139587,0.139587,0.139587,0.139587,0.305998
9,4.608,9,10,protocol,7.5,400,897,2.2425,232,210,0.905172,0.719298,0.421127,0.261059,0.186409,0.156109,0.131757,0.131757,0.131757,0.131757,0.309742
