SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2.56,5,10,protocol,7.5,10,40,4,0,0,0,0,0,0,0,0,0,0,0,0,0.825283
3,4.096,8,10,protocol,7.5,20,70,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0.724217
4,4.096,8,10,protocol,7.5,30,84,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0.655031
5,4.096,8,10,protocol,7.5,40,110,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0.590855
6,4.096,8,10,protocol,7.5,50,138,2.76,0,0,0,0,0,0,0,0,0,0,0,0,0.543722
7,4.096,8,10,protocol,7.5,60,140,2.33333,0,0,0,0,0,0,0,0,0,0,0,0,0.511789
8,4.096,8,10,protocol,7.5,60,139,2.31667,0,0,0,0,0,0,0,0,0,0,0,0,0.487236
9,3.584,7,10,protocol,7.5,70,138,1.97143,0,0,0,0,0,0,0,0,0,0,0,0,0.469193
10,2.048,4,10,protocol,7.5,80,160,2,0,0,0,1,1,0.5,0.416667,0.16129,0.142857,0.142857,0.142857,0.142857,0.449088
11,2.048,4,10,protocol,7.5,90,182,2.02222,0,0,0,1,0.5,0.333333,0.333333,0.142857,0.111111,0.111111,0.111111,0.111111,0.430204
12,2.048,4,10,protocol,7.5,100,244,2.44,0,0,0,1,0.5,0.294118,0.25,0.111111,0.0775194,0.0775194,0.0775194,0.0775194,0.414119
13,2.048,4,10,protocol,7.5,110,313,2.84545,18,18,1,1,0.677966,0.4,0.285714,0.166667,0.117647,0.117647,0.117647,0.117647,0.408799
14,2.048,4,10,protocol,7.5,110,307,2.79091,0,0,0,1,0.75,0.3,0.214286,0.125,0.0882353,0.0882353,0.0882353,0.0882353,0.404242
15,2.048,4,10,protocol,7.5,120,312,2.6,0,0,0,1,0.689655,0.333333,0.186916,0.137931,0.1,0.1,0.1,0.1,0.393215
16,2.048,4,10,protocol,7.5,120,307,2.55833,0,0,0,1,1,0.333333,0.196078,0.12987,0.1,0.1,0.1,0.1,0.384056
17,2.048,4,10,protocol,7.5,140,374,2.67143,36,36,1,1,0.842105,0.45977,0.296296,0.2,0.16,0.16,0.16,0.16,0.376586
18,2.048,4,10,protocol,7.5,150,372,2.48,40,40,1,0.95,0.666667,0.345455,0.205405,0.152,0.130584,0.130584,0.130584,0.130584,0.368308
