SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,10,protocol,7.5,10,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0.618952
3,0,0,10,protocol,7.5,10,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0.695959
4,0,0,10,protocol,7.5,10,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0.714581
5,0,0,10,protocol,7.5,10,19,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0.712288
6,0,0,10,protocol,7.5,20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0.697815
7,0,0,10,protocol,7.5,20,19,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0.686795
8,0,0,10,protocol,7.5,20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0.679261
9,0,0,10,protocol,7.5,20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0.671632
10,0,0,10,protocol,7.5,30,40,1.33333,0,0,0,0,0,0,0,0,0,0,0,0,0.66085
11,0,0,10,protocol,7.5,30,40,1.33333,0,0,0,0,0,0,0,0,0,0,0,0,0.65244
12,0,0,10,protocol,7.5,30,43,1.43333,0,0,0,0,0,0,0,0,0,0,0,0,0.646581
13,0,0,10,protocol,7.5,30,49,1.63333,0,0,0,0,0,0,0,0,0,0,0,0,0.644385
14,0,0,10,protocol,7.5,40,68,1.7,0,0,0,1,1,1,0.5,0.2,0.2,0.2,0.2,0.2,0.638369
15,0,0,10,protocol,7.5,40,65,1.625,0,0,0,0.95,0.95,0.5,0.475,0.19,0.19,0.19,0.19,0.19,0.630866
16,0,0,10,protocol,7.5,40,69,1.725,0,0,0,0.95,0.95,0.475,0.395833,0.19,0.19,0.19,0.19,0.19,0.624648
17,0,0,10,protocol,7.5,40,67,1.675,0,0,0,0.95,0.95,0.475,0.24359,0.19,0.19,0.19,0.19,0.19,0.619589
18,0,0,10,protocol,7.5,50,76,1.52,0,0,0,1,1,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.61149
19,0,0,10,protocol,7.5,50,66,1.32,0,0,0,1,1,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.605073
20,0,0,10,protocol,7.5,50,58,1.16,0,0,0,1,1,0.416667,0.2,0.2,0.2,0.2,0.2,0.2,0.599551
